axis,stage,frequency_hz,input_psd,gain,phase_deg,coherence
Roll,inner,25.634765625,0.003334344347317042,1.2759019933147788,144.29966670009057,0.0369454901247044
Roll,inner,25.87890625,0.0030429867648824062,1.0007545961253939,171.46193457706954,0.021845095039807423
Roll,inner,26.123046875,0.0021804398727383184,1.019561497524707,165.3888129499788,0.01705450806170272
Roll,inner,26.3671875,0.0019054042656756406,0.7285243904943778,115.21436370733655,0.008044074631434344
Roll,inner,26.611328125,0.0021817696983561052,0.4686118256712464,12.012931517457544,0.0037366254329080522
Roll,inner,26.85546875,0.0026975448395356876,0.5521092916015001,39.56854211519386,0.006258443828576732
Roll,inner,27.099609375,0.0025564316126007384,0.902675586877888,173.09194011972198,0.01260481461980856
Roll,inner,27.34375,0.0022967213328414647,1.6532508701471533,165.6981629199111,0.03068999028191278
Roll,inner,27.587890625,0.0020238825822572735,1.4323331373448314,129.8891172895824,0.020104316617629594
Roll,inner,27.83203125,0.001625723143985593,1.0836111048003558,-15.305978191683689,0.008223968550402295
Roll,inner,28.076171875,0.0014873149992019315,0.8931088462210741,12.221161121093644,0.004769288765030099
Roll,inner,28.3203125,0.0018092597605725445,2.6110485183110965,-71.43171950063049,0.051687182822785206
Roll,inner,28.564453125,0.0021019887998387395,1.1909874898969977,-58.05049246713133,0.014587356635998139
Roll,inner,28.80859375,0.0021380995787754066,1.8282042683032014,-170.64291155181445,0.03356084885447057
Roll,inner,29.052734375,0.0019737106112436642,1.9913281523521873,118.28635467892953,0.032601209256802335
Roll,inner,29.296875,0.0016563934541408267,2.044880594942134,117.2388776434415,0.02702939628862658
Roll,inner,29.541015625,0.0015697817519582285,1.2235275786963133,116.70686768934301,0.008303417654152039
Roll,inner,29.78515625,0.0015792200668316699,1.5787751015040428,105.11056371297425,0.013882310813289597
Roll,rc_to_gyro,0.732421875,1379.2068228407468,1.0064439885360927,-4.2776143372432305,0.999174927626685
Roll,rc_to_gyro,0.9765625,738.295044496902,1.0151609349156558,-5.653104045948292,0.9989264737436532
Roll,rc_to_gyro,1.220703125,367.18460325732076,1.017728465904801,-7.516590149887367,0.9985582454619398
Roll,rc_to_gyro,1.46484375,170.13164174795892,1.0221306190286168,-9.13693886573716,0.99663371140273
Roll,rc_to_gyro,1.708984375,82.25053411827147,1.037198468584809,-10.428033746158567,0.9922276393461238
Roll,rc_to_gyro,1.953125,45.766516955084384,1.04669540370172,-12.029515760722807,0.9911134038528578
Roll,rc_to_gyro,2.197265625,30.411943431908806,1.0337917863133477,-14.739214598461656,0.986164420027684
Roll,rc_to_gyro,2.44140625,22.593907625374253,1.022068903605177,-17.595800817484392,0.9847632778076538
Roll,rc_to_gyro,2.685546875,15.197033988327425,1.0140025561054073,-20.579407937567886,0.9815843791800857
Roll,rc_to_gyro,2.9296875,10.160042606387513,1.033060539689784,-22.088758656600323,0.972486523547886
Roll,rc_to_gyro,3.173828125,7.989907138709909,1.0431143171730546,-21.729627062347596,0.9612184833855454
