axis,start_s,end_s,stage,method,lag_ms,correlation,input_std_deg_s
Roll,38,42,inner,bandpassed_level,1.5976522535705564,0.9994792836224436,51.40489371263962
Roll,38,42,inner,bandpassed_derivative,9.536696856946113,0.9565277764409128,51.40489371263962
Roll,38,42,smoothing,bandpassed_level,16.089908572273824,0.9999673027234712,51.40489371263962
Roll,38,42,smoothing,bandpassed_derivative,15.107897987281177,0.9952699645214593,51.40489371263962
Roll,38,42,rc_to_gyro,bandpassed_level,17.89807701437373,0.9994850733312209,51.40489371263962
Roll,38,42,rc_to_gyro,bandpassed_derivative,24.728833760728282,0.9578442172976848,51.40489371263962
Roll,39,43,inner,bandpassed_level,5.171348473703313,0.99337228661335,30.154291186066867
Roll,39,43,inner,bandpassed_derivative,11.955157137469234,0.8618831110790923,30.154291186066867
Roll,39,43,smoothing,bandpassed_level,16.5482357878957,0.9995560013025885,30.154291186066867
Roll,39,43,smoothing,bandpassed_derivative,14.867709428526254,0.9840970647342631,30.154291186066867
Roll,39,43,rc_to_gyro,bandpassed_level,22.17446038481015,0.9938829151398002,30.154291186066867
Roll,39,43,rc_to_gyro,bandpassed_derivative,26.42870926708718,0.8622750356490027,30.154291186066867
Roll,50,54,inner,bandpassed_level,-0.46133639855658537,0.9952141250528153,32.310747124682365
Roll,50,54,inner,bandpassed_derivative,6.951249589733057,0.8322108945639235,32.310747124682365
Roll,50,54,smoothing,bandpassed_level,16.34777184315624,0.9998308748459792,32.310747124682365
Roll,50,54,smoothing,bandpassed_derivative,16.013032879262727,0.9908231749045909,32.310747124682365
Roll,50,54,rc_to_gyro,bandpassed_level,16.434423361576485,0.9952149167649157,32.310747124682365
Roll,50,54,rc_to_gyro,bandpassed_derivative,23.852269425791473,0.8395389463772618,32.310747124682365
Roll,51,55,inner,bandpassed_level,-0.7459051820463313,0.9926453322094152,33.09895619484283
Roll,51,55,inner,bandpassed_derivative,6.6532795950853325,0.7595183918917836,33.09895619484283
Roll,51,55,smoothing,bandpassed_level,16.296073946830344,0.9997997917200292,33.09895619484283
Roll,51,55,smoothing,bandpassed_derivative,16.030934854217442,0.9880259443619376,33.09895619484283
Roll,51,55,rc_to_gyro,bandpassed_level,16.21841198101302,0.9926859730642329,33.09895619484283
Roll,51,55,rc_to_gyro,bandpassed_derivative,23.631795739254912,0.7684737545540756,33.09895619484283
Roll,52,56,inner,bandpassed_level,0.649297533581974,0.9753219857623501,32.45428986417375
Roll,52,56,inner,bandpassed_derivative,8.09505325799281,0.489879036181243,32.45428986417375
Roll,52,56,smoothing,bandpassed_level,16.26094185107282,0.9997831078198988,32.45428986417375
Roll,52,56,smoothing,bandpassed_derivative,16.146554200953982,0.9886664334057548,32.45428986417375
Roll,52,56,rc_to_gyro,bandpassed_level,19.033698199687855,0.974560374374566,32.45428986417375
Roll,52,56,rc_to_gyro,bandpassed_derivative,25.815169491793895,0.4832954445144581,32.45428986417375
Roll,53,57,inner,bandpassed_level,2.9652596585003157,0.9742554710992029,30.799166270806165
Roll,53,57,inner,bandpassed_derivative,7.572525520792854,0.6416276172336098,30.799166270806165
Roll,53,57,smoothing,bandpassed_level,16.102294114133997,0.9998578754768546,30.799166270806165
Roll,53,57,smoothing,bandpassed_derivative,15.972284869800909,0.9953383336734615,30.799166270806165
Roll,53,57,rc_to_gyro,bandpassed_level,19.533257402516483,0.9743508911204765,30.799166270806165
Roll,53,57,rc_to_gyro,bandpassed_derivative,24.230780083479367,0.6397818660050547,30.799166270806165
Roll,54,58,inner,bandpassed_level,5.137285737049865,0.964146566361098,14.064659244273216
Roll,54,58,inner,bandpassed_derivative,9.343885416924921,0.6340754609727102,14.064659244273216
Roll,54,58,smoothing,bandpassed_level,16.10759148241253,0.9997911895427595,14.064659244273216
Roll,54,58,smoothing,bandpassed_derivative,15.717486101669317,0.9948000210753617,14.064659244273216
Roll,54,58,rc_to_gyro,bandpassed_level,21.415242494832523,0.9644823456095177,14.064659244273216
Roll,54,58,rc_to_gyro,bandpassed_derivative,25.368417907082694,0.631452288021898,14.064659244273216
Roll,55,59,inner,bandpassed_level,5.182473317877487,0.9651486985850691,14.038012346336888
Roll,55,59,inner,bandpassed_derivative,9.081249653925072,0.6490282333242636,14.038012346336888
Roll,55,59,smoothing,bandpassed_level,16.090473927880673,0.999790191668028,14.038012346336888
Roll,55,59,smoothing,bandpassed_derivative,15.694032112667205,0.9953641042533855,14.038012346336888
Roll,55,59,rc_to_gyro,bandpassed_level,21.540973926502673,0.9652880246856578,14.038012346336888
Roll,55,59,rc_to_gyro,bandpassed_derivative,25.33914656300747,0.6430545000090628,14.038012346336888
Roll,56,60,inner,bandpassed_level,2.189316336640595,0.9942153556120007,11.506132313551353
Roll,56,60,inner,bandpassed_derivative,8.860925087021194,0.929108567583887,11.506132313551353
Roll,56,60,smoothing,bandpassed_level,16.07172510926653,0.9997794446904513,11.506132313551353
Roll,56,60,smoothing,bandpassed_derivative,15.828036589133156,0.9946572490457647,11.506132313551353
Roll,56,60,rc_to_gyro,bandpassed_level,18.164114338463897,0.9946578543383996,11.506132313551353
Roll,56,60,rc_to_gyro,bandpassed_derivative,23.72837405816354,0.9389069846411806,11.506132313551353
Roll,58,62,inner,bandpassed_level,13.808454971921918,0.9952729611899089,21.04043110306261
Roll,58,62,inner,bandpassed_derivative,13.512823113783702,0.6757071271795341,21.04043110306261
Roll,58,62,smoothing,bandpassed_level,16.30741980942819,0.999950115592483,21.04043110306261
Roll,58,62,smoothing,bandpassed_derivative,16.93415860580518,0.989918263301911,21.04043110306261
