t,epoch,px,py,pz,vx,vy,vz,yaw,pvarx,pvary,pvarz,vvarx,vvary,vvarz,yawvar
25.35688576,0,-6.261963828778912,3.9540464060812384,5.329999856338311,0.09,-0.65,0.17,2.274164015348611,1.567504,1.567504,4.334724,0.2304,0.2304,0.2304,0.030461741978670857
25.457069824,0,-6.278595926616442,3.8874052357504087,5.340002402568189,-0.01,-0.47000000000000003,0.12,2.272418686096617,1.5700090000000002,1.5700090000000002,4.380649,0.257049,0.257049,0.257049,0.030461741978670857
25.555202816,0,-6.2785959656533326,3.8429777793457522,5.349800075655338,-0.1,-0.25,0.02,2.272418686096617,1.5750250000000003,1.5750250000000003,4.4268160000000005,0.254016,0.254016,0.254016,0.030461741978670857
25.65739392,0,-6.303544049964096,3.8207640726381467,5.360002913752915,-0.13,-0.03,0.07,2.274164015348611,1.572516,1.572516,4.431025,0.13322499999999998,0.13322499999999998,0.13322499999999998,0.030461741978670857
25.757529344,0,-6.32017614159459,3.7652297656158322,5.37000051118472,0.05,-0.54,0.14,2.274164015348611,1.5700090000000002,1.5700090000000002,4.439449000000001,0.24009999999999998,0.24009999999999998,0.24009999999999998,0.030461741978670857
25.869729536,0,-6.336808232579898,3.7096954593761082,5.381202664294769,-0.28,-0.47000000000000003,0.23,2.274164015348611,1.567504,1.567504,4.443664,0.21622500000000003,0.21622500000000003,0.21622500000000003,0.030461741978670857
25.957869824000003,0,-6.378388387976251,3.654161175231062,5.3900026581605545,-0.06,-0.32,0.34,2.274164015348611,1.5650010000000003,1.5650010000000003,4.447881,0.203401,0.203401,0.203401,0.030461741978670857
26.056006912,0,-6.3783884272770575,3.609733717601718,5.399800740195474,-0.2,-0.35000000000000003,0.61,2.274164015348611,1.5600010000000002,1.5600010000000002,4.443664,0.18662399999999998,0.18662399999999998,0.18662399999999998,0.030461741978670857
26.158157568,0,-6.395020521884181,3.5541994108222816,5.40999953993375,-0.09,-0.51,0.61,2.274164015348611,1.557504,1.557504,4.443664,0.189225,0.189225,0.189225,0.030461741978670857
26.258337024000003,0,-6.4199686358134604,3.4986651123050043,5.420001533554164,-0.11,-0.24,0.56,2.274164015348611,1.5550090000000003,1.5550090000000003,4.447881,0.18062499999999998,0.18062499999999998,0.18062499999999998,0.030461741978670857
