t,mode,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,ref_p_x,ref_p_y,ref_p_z,ref_v_x,ref_v_y,ref_v_z,ref_w_x,ref_w_y,ref_w_z,ref_thrust,cmd_thrust,cmd_w_x,cmd_w_y,cmd_w_z,rc_a,rc_e,rc_t,rc_r,rc_aux1,has_reference,in_trajectory,est_p_x,est_p_y,est_p_z,ahrs_tilt_err_deg,ahrs_yaw_err_deg,ahrs_acc_weight,msp_tilt_err_deg
9.025,FLIGHT,0.0119946651,-0.0372830043,0.702276707,0.706724851,-0.00133686938,-0.000134043257,0.70748723,-0.0475272854,-0.0253215411,1.10152767,0.34436997,0.394977442,0.00298960762,-0.00825082069,-0.0851390426,0.728938372,0.0335035176,0.06183447,1.08975085,-0.0357426874,-0.0672170027,0.000396027211,9.69569932,10.1883752,0.134360966,0.291843759,-0.00252927109,1530,1551,1419,1499,2000,1,0,0.0184048761,-0.0652614305,0.696968569,0.0846460099,0.104661325,0.827086598,0.765820077
9.035,FLIGHT,0.01152115,-0.0375338308,0.713278786,0.706721109,-0.0017622472,0.00212147556,0.707486868,-0.0472387175,-0.02482545,1.09922104,0.239682125,0.413700042,-0.00599349429,-0.00791309632,-0.0845153776,0.739829215,0.0340349293,0.0628863909,1.08830948,-0.0364687922,-0.0686638208,0.00040198736,9.63069228,10.135033,0.129521893,0.264164104,-0.00652380749,1530,1548,1418,1497,2000,1,0,0.0176229911,-0.0660851247,0.70816335,0.0934075002,0.0993126126,0.888588115,0.653390217
9.045,FLIGHT,0.0110520596,-0.0377777364,0.724260005,0.706700732,-0.00244262874,0.00383745597,0.707497974,-0.0466454579,-0.0239247972,1.09723564,0.155422511,0.392099943,-0.013734279,-0.0075702508,-0.0838815578,0.750702402,0.0345277223,0.0638653785,1.08621996,-0.037160541,-0.0700452968,0.000407613578,9.56589814,10.0741291,0.127685012,0.239521496,-0.00959989105,1529,1545,1417,1496,2000,1,0,0.0168471427,-0.0669053056,0.71933688,0.132627331,0.0947838354,0.929697827,0.609716933
9.055,FLIGHT,0.0105888497,-0.0380103442,0.735221251,0.706678377,-0.00333207424,0.00527085582,0.707507446,-0.0460783723,-0.022602189,1.0951829,0.0845338947,0.363697455,-0.00425018201,-0.00722267119,-0.0832383145,0.761551462,0.0349817223,0.0647710308,1.08348476,-0.0378156145,-0.0713569904,0.00041290514,9.50139467,10.0085317,0.129443259,0.215398684,-0.00414345441,1530,1542,1415,1498,2000,1,0,0.0160786646,-0.0677161435,0.730489119,0.17264334,0.0890159681,0.9444429,1.20275599
9.065,FLIGHT,0.0101314797,-0.0382274272,0.746160518,0.706651673,-0.00422698227,0.006481749,0.70751928,-0.0455269191,-0.0209136638,1.09284187,0.0671012215,0.317078537,-0.00231421867,-0.00687074609,-0.0825863827,0.772369955,0.0353968038,0.06560304,1.08010713,-0.0384316231,-0.0725943232,0.000417861513,9.43725937,9.93747202,0.125667362,0.199820343,-0.00267967521,1529,1540,1414,1499,2000,1,0,0.0153179544,-0.0685147035,0.741617529,0.211350892,0.0845093007,0.960207944,1.36627548
9.075,FLIGHT,0.00967938332,-0.0384252192,0.757073609,0.706613598,-0.00503548196,0.00755266224,0.707541394,-0.0449922694,-0.0188571837,1.08995656,0.0646733422,0.289304956,0.00548379444,-0.00651486511,-0.0819264999,0.783151476,0.0357728901,0.0663611927,1.07609106,-0.0390061138,-0.0737525918,0.000422482368,9.37356934,10.0748609,-0.177508644,-0.176773814,-0.00191221426,1463,1463,1417,1499,2000,1,0,0.0411573793,-0.0160794482,0.760602004,0.244345454,0.0789681896,0.963255694,1.52311699
9.085,FLIGHT,0.00923237788,-0.0386006684,0.767954354,0.706550002,-0.00549133473,0.00898623481,0.707584757,-0.044436302,-0.0164532073,1.08647581,0.059259425,0.242118001,0.00961381857,-0.00615541841,-0.0812594055,0.793889663,0.0361099534,0.0670453701,1.07144133,-0.0395365787,-0.0748269825,0.000426767571,9.3104012,9.93332977,-0.182636153,-0.1958818,-0.000744156637,1463,1461,1414,1500,2000,1,0,0.0410489146,-0.0164445552,0.771181203,0.233482474,0.0733145523,0.991043963,1.66236249
9.095,FLIGHT,0.00879229151,-0.0387500849,0.778800427,0.706499494,-0.00590224183,0.0100982965,0.707616883,-0.0435445011,-0.0136048009,1.08320268,-0.0249412598,0.144720053,-0.00549195574,-0.00579279609,-0.0805858393,0.804578208,0.0364080143,0.0676555473,1.06616347,-0.0400204636,-0.0758125895,0.000430717189,9.24783104,9.85661504,-0.175887878,-0.207780284,-0.00761360714,1463,1459,1412,1497,2000,1,0,0.0409483025,-0.0167840069,0.781725649,0.22099084,0.0678198436,0.991714527,1.77091343
9.105,FLIGHT,0.00836392487,-0.0388685459,0.789617073,0.706490276,-0.00641293157,0.0100576993,0.707622221,-0.0422446256,-0.0104006723,1.08039362,-0.219400486,-0.0292539415,-0.0130100694,-0.0054273879,-0.079906541,0.81521086,0.0366671423,0.0681917935,1.06026378,-0.040455179,-0.076704434,0.000434331488,9.18593433,9.7813858,-0.145359461,-0.203185265,-0.00940190844,1468,1460,1410,1496,2000,1,0,0.0408610683,-0.0170921075,0.792240299,0.222043474,0.0627431142,0.995203384,2.54087521
9.115,FLIGHT,0.00794826042,-0.0389549318,0.800402726,0.706442476,-0.00693625865,0.00899552512,0.707679303,-0.041123979,-0.00720844029,1.07689869,-0.356908872,-0.154391014,0.00986900385,-0.00505958263,-0.0792222493,0.825781434,0.0368874549,0.0686542713,1.05374929,-0.0408381116,-0.0774974869,0.000437610929,9.12478582,9.71599039,-0.111309843,-0.183987047,0.00322402449,1473,1462,1409,1501,2000,1,0,0.0407886831,-0.0173680584,0.802722431,0.221738784,0.0556872276,0.999619866,2.60268333
9.125,FLIGHT,0.00753952264,-0.0390119311,0.811147171,0.706374923,-0.00751392549,0.00717364024,0.707761646,-0.0407940109,-0.00443405493,1.0722494,-0.409835468,-0.222422916,0.00654628904,-0.0046897676,-0.0785337006,0.836283823,0.0370691177,0.0690432367,1.04662778,-0.0411666375,-0.0781866935,0.000440556178,9.0644595,9.65543033,-0.077790627,-0.171822305,0.00227571017,1479,1464,1408,1501,2000,1,0,0.0407248595,-0.0176147599,0.813162127,0.219921109,0.0507531688,0.9985743,2.66983431
9.135,FLIGHT,0.00712900751,-0.0390434598,0.821839033,0.706332725,-0.00777166312,0.00506551422,0.707819203,-0.0413350041,-0.00211933175,1.0665615,-0.306675872,-0.274553555,-0.00307013818,-0.00431832837,-0.0778416284,0.846711996,0.0372123443,0.0693590381,1.03890778,-0.0414381365,-0.0787670008,0.000443168093,9.00502848,9.59591861,-0.0651516911,-0.156370889,-0.00320895019,1482,1466,1407,1499,2000,1,0,0.0406606839,-0.0178352524,0.823546888,0.23168046,0.0453671642,0.998327927,2.7264724
9.145,FLIGHT,0.00670988488,-0.0390533795,0.832470228,0.70633552,-0.00759634444,0.00356646812,0.707827457,-0.0424298783,-9.92543574e-05,1.06022652,-0.208379086,-0.279217168,0.00636039072,-0.00394564797,-0.0771467622,0.857060014,0.0373173954,0.0696021158,1.03059851,-0.041650008,-0.0792333878,0.000445447736,8.94656494,9.53416733,-0.0580185245,-0.142741415,0.000696994345,1483,1468,1405,1500,2000,1,0,0.040589562,-0.0180350986,0.833869649,0.226185228,0.0478213651,0.99654893,2.74928944
9.155,FLIGHT,0.00627919086,-0.039045349,0.843035396,0.706346204,-0.0069799742,0.00212269219,0.707828945,-0.0436244926,0.00154608726,1.05340032,-0.102126782,-0.279126947,-0.00586861844,-0.00357210669,-0.0764498267,0.867322035,0.037384579,0.0697730016,1.02170995,-0.0417996879,-0.0795808976,0.000447396365,8.88914002,9.47027291,-0.0594497783,-0.128486069,-0.00629073946,1483,1471,1404,1498,2000,1,0,0.0405088549,-0.0182166382,0.844125999,0.240842842,0.0514008175,0.995395358,2.73372676
9.165,FLIGHT,0.0058367344,-0.0390229097,0.853528769,0.706361706,-0.00620878895,0.00111380999,0.707822966,-0.0447519382,0.00279963681,1.04591549,-0.0399269306,-0.269570273,0.00309404788,-0.00319808148,-0.0757515408,0.877492317,0.0374142496,0.0698723174,1.01225275,-0.0418846667,-0.0798046722,0.000449015438,8.8328238,9.40925654,-0.0623598385,-0.103704429,-0.00249956334,1483,1475,1402,1499,2000,1,0,0.0404185902,-0.0183835064,0.854309711,0.245114135,0.0540776474,0.994373459,1.9878622
9.175,FLIGHT,0.00538344202,-0.0389890331,0.863943905,0.706382825,-0.00541576588,0.000291850552,0.707809217,-0.045788298,0.00378150104,1.03782941,-0.0166522019,-0.251544456,-0.00995380155,-0.00282394545,-0.0750526166,0.887565231,0.0374068076,0.0699007747,1.00223828,-0.0419025092,-0.07989999,0.00045030661,8.77768514,9.34679661,-0.061527317,-0.0925264694,-0.00916578985,1483,1477,1401,1497,2000,1,0,0.0403184331,-0.0185383831,0.864413961,0.245422852,0.0564537334,0.989570357,1.99093476
9.185,FLIGHT,0.00492023352,-0.038946371,0.874274869,0.706411109,-0.00476186925,-0.000317259296,0.70778568,-0.0467553157,0.00454816876,1.02912842,-0.00211633142,-0.204477607,-0.00578148652,-0.00245006756,-0.0743537589,0.897535265,0.0373626992,0.0698591737,0.991678576,-0.0418508751,-0.0798623045,0.000451271738,8.72379168,9.12667059,0.358077286,0.000762475452,-0.00212016796,1558,1500,1396,1499,2000,1,0,0.0105473261,-0.0438167085,0.853511494,0.236379053,0.057401559,0.993191412,1.99449864
9.195,FLIGHT,0.00444756366,-0.0388971791,0.884515579,0.706455284,-0.00456351516,-0.00125541907,0.707741853,-0.0477088444,0.00511665071,1.01984388,-0.00477597168,-0.175135086,-0.00621864008,-0.00207681205,-0.0736556638,0.907397028,0.0372824154,0.0697484015,0.980586353,-0.0417275402,-0.0796872862,0.000451912875,8.67120969,8.91668217,0.366372165,0.0074695041,-0.00115225271,1559,1503,1392,1500,2000,1,0,0.00943605979,-0.0437728552,0.864445908,0.183895968,0.059461822,0.667132931,2.00218092
9.205,FLIGHT,0.00396379643,-0.0388437094,0.894658577,0.706530526,-0.00425574765,-0.0018060924,0.707667466,-0.0490106866,0.0054763996,1.00960837,0.111896523,-0.103632715,-0.0118935258,-0.00170453801,-0.0729590181,0.917145262,0.0371664916,0.0695694318,0.968974981,-0.0415304189,-0.0793708649,0.000452232273,8.62000407,8.82866207,0.355340441,0.0082006253,-0.00476406931,1558,1503,1390,1498,2000,1,0,0.00831429324,-0.0437272612,0.875280609,0.146424921,0.0631411969,0.712896439,1.24108823
9.215,FLIGHT,0.00346545141,-0.0387879594,0.904692863,0.706565204,-0.00369202189,-0.00159415683,0.707636517,-0.0505014489,0.00569057103,0.99813963,0.2549666,-0.0652209527,0.00209708786,-0.00133359906,-0.0722644989,0.926774844,0.0370155068,0.0693233227,0.956858479,-0.0412575874,-0.0789092744,0.000452232383,8.57023822,8.75472549,0.329658675,0.0224867999,0.0013645749,1555,1508,1388,1501,2000,1,0,0.00717620516,-0.0436829403,0.886004164,0.108287324,0.0638952547,0.754793151,1.16710418
